Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
8687,INGALLS,FITZGERALD,SE,NB, ,20448000,,"(37.7209809285, -122.391319694)"
8688,INGALLS,GILMAN,NW,SB,0,20443000,,"(37.7203540409, -122.391883548)"
8689,INGALLS,GILMAN,SE,NB,0,20443000,,"(37.7203540409, -122.391883548)"
8690,INGALLS,HARBOR,NW,SB,E LINE,20061000,,"(37.7333856776, -122.37994493)"
8691,INGALLS,HOLLISTER,NW,SB,0,20444000,,"(37.7197448909, -122.392431435)"
8692,INGALLS,HOLLISTER,SE,NB,0,20444000,,"(37.7197448909, -122.392431435)"
8693,INGALLS,INGERSON,NW,SB,0,20441000,,"(37.7191185841, -122.392994743)"
8694,INGALLS STREET,JAMESTOWN AVE,NW,SB,0,20446000,,"(37.7184923033, -122.393558014)"
8695,INGALLS,KISKA,NW,SB,N LINE,20077000,,"(37.7311143584, -122.379565097)"
8696,INGALLS,KISKA,SE,NB,0,20077000,,"(37.7311143584, -122.379565097)"
8697,INGALLS,OAKDALE,NW,SB,0,20131000,,"(37.7303469151, -122.382901076)"
8698,INGALLS,OAKDALE,SE,NB,0,20131000,,"(37.7303469151, -122.382901076)"
8699,INGALLS,PALOU,SE,NB,0,20136000,,"(37.7297424958, -122.383444388)"
8700,INGALLS,QUESADA,SE,NB, ,20135000,,"(37.7291166461, -122.384006954)"
8735,IRVING,25TH AVE,SW,WB,0,27422000,,"(37.7632835668, -122.483566782)"
8736,MOLIMO,BELLA VISTA,NE,WB,0,22369000,,"(37.7367209368, -122.451877531)"
8737,MOLIMO,BELLA VISTA,SW,EB,0,22369000,,"(37.7367209368, -122.451877531)"
8738,MONCADA,CERRITOS,NW,SB,0,22777000,,"(37.7263049482, -122.469198742)"
8739,MONCADA,CERRITOS,SE,NB,0,22777000,,"(37.7263049482, -122.469198742)"
8740,MONCADA,URBANO,NW,SB,0,22776000,,"(37.7257451305, -122.468820133)"
8741,MONTALVO,MAGELLAN,NW,SB, ,22960000,,"(37.7444495963, -122.464174338)"
8742,MONTALVO,MAGELLAN,SE,NB, ,22960000,,"(37.7444495963, -122.464174338)"
8743,MONTALVO,TARAVAL,SE,SB,0,22882000,,"(37.7437543482, -122.463699213)"
8744,SHIELDS,BEVERLY,NE,WB, ,22725000,,"(37.7178810881, -122.471645396)"
8745,FILLMORE,BROADWAY,NW,SB,0,26670000,,"(37.7942709777, -122.434932546)"
8746,FILLMORE,BROADWAY,SE,NB,0,26670000,,"(37.7942709777, -122.434932546)"
8747,FILLMORE,CLAY,NW,SB, ,26648000,,"(37.7907161187, -122.434216372)"
8748,FILLMORE,DUBOCE,NW,SB,0,25893000,,"(37.7694128651, -122.429918859)"
8749,FILLMORE,FILBERT,NW,SB,0,26676000,,"(37.7980260671, -122.435691432)"
8750,FILLMORE,GREEN,NW,SB,0,26664000,,"(37.7961632219, -122.435314951)"
8751,FILLMORE,GREENWICH,NW,SB,0,26747000,,"(37.7989567953, -122.43587954)"
8752,FILLMORE,GREENWICH,SE,NB,0,26747000,,"(37.7989567953, -122.43587954)"
8753,FILLMORE,HERMANN,NW,SB,0,25894000,,"(37.7702480083, -122.430086836)"
8754,FILLMORE,HERMANN,SE,NB,0,25894000,,"(37.7702480083, -122.430086836)"
8755,FILLMORE,JACKSON,SE,NB,0,26653000,,"(37.7924765818, -122.434570941)"
8756,FILLMORE,O FARRELL,SE,NB, ,26589000,,"(37.7832975356, -122.432719398)"
8757,FILLMORE,O FARRELL,NW,SB, ,26589000,,"(37.7832975356, -122.432719398)"
8758,FILLMORE,PACIFIC,SE,NB,0,26657000,,"(37.7933522294, -122.434746882)"
8759,FILLMORE,PACIFIC,NW,SB,0,26657000,,"(37.7933522294, -122.434746882)"
8760,FILLMORE,PAGE,NW,SB, ,25902000,,"(37.773044242, -122.430642302)"
8761,FILLMORE,VALLEJO,NW,SB,0,26663000,,"(37.7952307778, -122.43512651)"
8762,FILLMORE,VALLEJO,SE,NB,0,26663000,,"(37.7952307778, -122.43512651)"
8763,FILLMORE,WALLER,NW,SB, ,25895000,,"(37.7711786271, -122.430274022)"
8764,FILLMORE,WASHINGTON,NW,SB, ,26649000,,"(37.7915965955, -122.434393703)"
8765,FILLMORE,WASHINGTON,SE,NB, ,26649000,,"(37.7915965955, -122.434393703)"
8766,FITZGERALD,BAYSHORE,NE,WB,0,20610000,,"(37.7269697007, -122.401888325)"
8767,FITZGERALD,CAMERON,NE,WB, ,20104000,,"(37.7196824414, -122.389152405)"
8768,FITZGERALD,GRIFFITH,SW,EB, ,20105000,,"(37.7187654399, -122.387674538)"
